,BLOCK_NUMBER,ETH_FROM_ADDRESS,AMOUNT,TX_HASH,ENS
653,17382622,0xd990518ffd8f4cf7d2e9e5919105159269e36dc1,0.025,0xc8e043a6177f31bb90b5ad8efe774976708ef19b997b8f561cd1a960a8c8eb1d,nieri.eth
661,17382790,0xa535ad8c4271b7deac55937d972c8d4d1064af1a,0.2,0xd35be194a586eb444753855ebe137853cb95c1e30c95200a017a376ab2a44380,bensuck.eth
668,17382955,0xcc02036cc0ac79718002986da99e0b3d55e92e84,0.06,0xadbc247556bad45e524ded33916b12f072df0c1a7b8aa050d7fd82125290f45c,roserichcrypto.eth
667,17382906,0x1eb110305820b8c1a64a0c2b348f6f6f72983789,0.03,0x69a369f8e99c57bc17e0530834f4d5629668b912ceff862baf98683d48609e66,mikiep.eth
670,17382987,0xf181106047411c22defa5cb22033520a0f16614b,0.03,0xcd350381337afff2003ee4adadec3b9a3b8853dd73e03cf6e78a86534630db96,muffdiving.eth
671,17383009,0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,0.1,0xf0736748c3c14bbb9711e233b6a3cb0f3bdd92f73f72cbacdb77be29f2335d6c,arrky.eth
672,17383023,0xa61db0ca736742c9782e8310bc7b9e7e10b3cf9f,0.1,0x8d005d5cfb1e3b6aebfc94fd98c9f2b5635addb3d23e26444ba58c9bf29ff679,bubbybat.eth
677,17383174,0xa1d6ae0d6d7c539fda043bec4eb8c91201071223,0.025,0x3c97def221157bfe6f3ab7dccd98632d20aed0c22c68be43495d7d0229f1509f,austinhambelton.eth
686,17383391,0xfbb8dd2429657fad786173007a655d3c45112746,0.025,0x75b956961a5537cc87a3060613b8ea234340574c6316f6ee5874e3a4bf622579,drjoints.eth
688,17383451,0x4bbbee560eb73627651b73d5344e80fb78498d0b,0.02,0xbc6ed1e71eed75099e9f4c105b2dc73a6588bad89248f433f9b81646119dc481,mudrevskiy.eth
709,17383731,0x57837baf2690a0fd31470bff9f17371ca7c2926b,0.01,0xffa7fb95bd0ae625372fdf02b1ee99fada0dd7bf6c7a612a465c72ef2d5bdc58,mitch🇺🇸.eth
712,17383780,0xc53b6dc78caa8199ed009f69ded2af2d957f1944,0.0809,0x72d9c1f11040614961f68266582a9f6dd1d973ef81d1d32d5fa542e5dff06be6,nftc0llect0r.eth
708,17383729,0x5968b36267f86a259af2ed96ca75a89acb408f42,0.05,0xa4e7e7f7ee689c40922ef70f0c54637b45bf534dda00ac501950494aa7694a53,lamsito.eth
717,17385629,0x58002a23380926e743f6e555b080b33c022e4542,0.5372560186,0x3dfd37deceb007fde8d1048b6f110811d1b7b3efb0bc909e529c2ce734b651fe,rgstyle.eth
721,17386476,0xfdcad20e6c388e2ff2197ed53c7fc7648f653527,0.1,0xf66aa97096df2578bb4909524099652034762cd975861cf21d5db969dcb20840,tcc888.eth
739,17386667,0xa535ad8c4271b7deac55937d972c8d4d1064af1a,0.2,0x6401c61cb0b0dbccb47bdddbcd5664bb9ed7e405e06d032c13711f4c6da6c010,bensuck.eth
781,17387422,0x58002a23380926e743f6e555b080b33c022e4542,0.5323736411,0x4afbf15a4f05c5338c688cb981bd650544b609b888e6ebfe301916297b7ee010,rgstyle.eth
789,17387529,0xb1cf9d4c3743be59fc87db20378035a73eac73e4,0.05,0x9f227d8acb798921f8144256e1fe0a8ad8a4909b1405211a6730f27ca7fcc5b9,rychardase.eth
806,17387836,0x5748268e6ba257ff59a0994c02da55df12fcc2f7,0.03,0x61bed100f95506c4eb9a3c993462677bfc9acf3d78b0a68418fa99707636d7fa,spopy.eth
811,17388028,0x566343569a5c44172ae73ac222206dc5c76d0ef0,0.1101827395,0x3eafb09cdb4fd2a841806aa82b1abb7c4432d082c1d540acd7a72239c8b36e1d,barneyfloyd.eth
810,17387990,0x4d72074319417658fa93086bbf2b99007bdab1ef,0.12,0xe35dea9c04a16530b9169c7bc64f9253c5de48014e4bf9765147206905fcd9eb,zony.eth
818,17388184,0x05c2317a6d483d9108be0df1240b953e0b0ee9ea,0.1,0xb0650212345185b7a775ea4795ae6cd78ab7741533301f6a518408b171375508,peacefulalignment.eth
832,17388581,0x58002a23380926e743f6e555b080b33c022e4542,0.6144311169,0xc7d8aec62ddf5ecbac9d1a76519afe26ab7986d8f177f2a75c7a8dbc8d0e6e18,rgstyle.eth
834,17388781,0xea90a6c3e7b1150844d4c2b2345434fa8fa73d78,0.3,0x095f22e7be71a1218f4cbe4855806b70ed2fce59801e9e405b48451fa4b41d77,x5th.eth
845,17389135,0x0756bc28687cabf05e021ed16536050487cb3cf3,0.0969,0x4967664817d2205bae6699ee1b507671408a320f35e1ba69fad673a6346ca047,nickpappa.eth
